train_id,source_station,source_code,source_zone,destination_station,destination_code,destination_zone,distance,wagon_count,total_weight,locomotive_power,locomotive_type,cargo_type,congestion_level,num_trains_section,avg_wait_time,signal_delay,track_type,rainfall,temperature,fog,date,delay
FT100042,Howrah Junction,HWH,ER,Kharagpur Junction,KGP,SER,1246,56.0,2213.0,7529.0,WAG7,Coal,92,8,25,14,single,16.0,36,1,2023-03-19,78
FT100043,Mumbai Central,BCT,WR,Bhopal Junction,BPL,WCR,1774,45.0,1749.0,4673.0,WAG7,Steel,63,16,7,5,double,21.0,44,0,2023-11-02,66
FT100044,Patna Junction,PNBE,ECR,Kharagpur Junction,KGP,SER,1052,33.0,2077.0,6122.0,WAG12,Container,60,7,38,2,double,6.0,44,1,2023-10-21,77
FT100045,New Delhi,NDLS,NR,Bhopal Junction,BPL,WCR,1558,49.0,2258.0,7177.0,WAG9,Cement,60,5,9,10,single,16.0,39,1,2023-10-12,80
FT100046,Kharagpur Junction,KGP,SER,Mumbai Central,BCT,WR,1997,21.0,1704.0,6173.0,WAG7,Container,52,7,15,11,single,15.0,37,0,2023-04-21,59
FT100047,Itarsi Junction,ET,CR,Howrah Junction,HWH,ER,4878,40.0,2528.0,5489.0,WAG7,Coal,51,13,26,12,double,28.0,33,1,2023-11-22,76
FT100048,New Delhi,NDLS,NR,Itarsi Junction,ET,CR,1296,45.0,3796.0,6094.0,WAG7,Container,95,17,34,4,single,14.0,34,0,2023-04-17,97
FT100049,Bhopal Junction,BPL,WCR,Kanpur Central,CNB,NCR,725,45.0,1527.0,6125.0,WAG12,Cement,97,7,30,7,single,1.0,34,0,2023-01-14,69
FT100050,Mumbai Central,BCT,WR,Itarsi Junction,ET,CR,1005,54.0,3406.0,7086.0,WAG9,Steel,73,18,32,12,single,24.0,36,0,2023-07-21,86
FT100051,Chennai Central,MAS,SR,Ghaziabad Junction,GZB,NR,1803,,1566.0,4232.0,WAG12,Cement,27,12,26,1,double,14.0,38,1,2023-02-03,56
FT100052,Ghaziabad Junction,GZB,NR,Kharagpur Junction,KGP,SER,1741,45.0,3261.0,7514.0,WAG9,Container,65,18,10,14,double,26.0,43,0,2023-08-17,71
FT100053,Ghaziabad Junction,GZB,NR,Patna Junction,PNBE,ECR,1098,50.0,2563.0,4228.0,WAG9,Cement,45,16,35,11,double,23.0,34,1,2023-01-06,47
FT100054,Kanpur Central,CNB,NCR,New Delhi,NDLS,NR,1829,57.0,2446.0,6621.0,WAG7,Steel,66,14,19,6,double,1.0,38,1,2023-07-22,54
FT100055,New Delhi,NDLS,NR,Chennai Central,MAS,SR,312,31.0,2058.0,6048.0,WAG7,Container,99,7,15,1,double,13.0,37,1,2023-12-22,77
FT100056,Itarsi Junction,ET,CR,Kharagpur Junction,KGP,SER,1873,21.0,3560.0,5191.0,WAG12,Container,11,12,5,6,single,19.0,22,1,2023-11-15,54
FT100057,New Delhi,NDLS,NR,Kharagpur Junction,KGP,SER,517,33.0,3408.0,4375.0,WAG12,Container,84,5,38,8,double,,41,1,2023-03-17,76
FT100058,Bhopal Junction,BPL,WCR,Ghaziabad Junction,GZB,NR,1452,33.0,3351.0,6845.0,WAG7,Coal,44,14,9,9,double,20.0,27,1,2023-12-05,60
FT100059,Patna Junction,PNBE,ECR,Bhopal Junction,BPL,WCR,1749,51.0,3969.0,5888.0,WAG7,Coal,32,19,37,7,double,14.0,33,0,2023-06-02,79
FT100060,Bhopal Junction,BPL,WCR,Howrah Junction,HWH,ER,1262,25.0,3169.0,6626.0,WAG7,Coal,16,8,12,14,single,18.0,23,0,2023-02-11,41
FT100061,Kanpur Central,CNB,NCR,Ghaziabad Junction,GZB,NR,1320,56.0,2450.0,6336.0,WAG7,Container,77,14,6,1,double,21.0,25,0,2023-01-10,71
FT100062,Chennai Central,MAS,SR,Bhopal Junction,BPL,WCR,1147,34.0,3594.0,6371.0,WAG9,Container,85,15,6,5,double,12.0,30,1,2023-04-05,87
FT100063,Itarsi Junction,ET,CR,Bhopal Junction,BPL,WCR,749,25.0,2211.0,6070.0,WAG7,Cement,56,18,16,2,single,25.0,20,0,2023-08-06,78
FT100064,Bhopal Junction,BPL,WCR,Chennai Central,MAS,SR,1207,23.0,3363.0,4126.0,WAG9,Container,40,11,13,1,double,25.0,24,0,2023-02-20,56
FT100065,Itarsi Junction,ET,CR,Chennai Central,MAS,SR,1405,42.0,3354.0,4566.0,WAG7,Steel,49,8,25,9,single,14.0,28,0,2023-11-05,62
FT100066,Chennai Central,MAS,SR,Ghaziabad Junction,GZB,NR,1825,30.0,1885.0,7974.0,WAG12,Container,91,10,38,8,single,26.0,26,1,2023-12-13,84
FT100067,Kanpur Central,CNB,NCR,Kharagpur Junction,KGP,SER,1384,48.0,1562.0,,WAG12,Coal,31,8,32,9,single,25.0,39,1,2023-02-18,53
FT100068,Kanpur Central,CNB,NCR,Bhopal Junction,BPL,WCR,760,26.0,3292.0,5759.0,WAG7,Coal,22,17,27,14,double,29.0,27,0,2023-07-30,37
FT100069,Mumbai Central,BCT,WR,New Delhi,NDLS,NR,789,21.0,2487.0,5136.0,WAG7,Container,47,11,8,3,double,18.0,29,1,2023-09-21,27
FT100070,Howrah Junction,HWH,ER,Mumbai Central,BCT,WR,1603,52.0,3634.0,4054.0,WAG12,Cement,41,11,11,11,single,17.0,27,1,2023-12-15,69
FT100071,Ghaziabad Junction,GZB,NR,Kharagpur Junction,KGP,SER,778,,2787.0,7489.0,WAG9,Container,44,8,18,4,single,23.0,41,0,2023-10-15,29
FT100072,Patna Junction,PNBE,ECR,Mumbai Central,BCT,WR,206,29.0,2274.0,7744.0,WAG9,Steel,32,5,23,5,double,20.0,30,1,2023-04-22,38
FT100073,Mumbai Central,BCT,WR,Howrah Junction,HWH,ER,670,31.0,3055.0,6308.0,WAG7,Cement,46,7,34,4,double,5.0,41,1,2023-08-14,33
FT100074,Bhopal Junction,BPL,WCR,New Delhi,NDLS,NR,913,49.0,3606.0,,WAG7,Container,90,13,21,6,double,17.0,30,1,2023-01-14,87
FT100075,Chennai Central,MAS,SR,Itarsi Junction,ET,CR,641,48.0,2304.0,4074.0,WAG7,Steel,79,6,25,1,single,17.0,44,1,2023-02-11,79
FT100076,Itarsi Junction,ET,CR,Patna Junction,PNBE,ECR,1852,41.0,3574.0,,WAG7,Container,40,14,31,13,single,5.0,40,1,2023-06-17,67
FT100077,Itarsi Junction,ET,CR,Mumbai Central,BCT,WR,1219,20.0,2192.0,7363.0,WAG12,Cement,35,8,25,1,single,28.0,26,1,2023-09-24,42
FT100078,Howrah Junction,HWH,ER,Kanpur Central,CNB,NCR,297,43.0,2257.0,4405.0,WAG9,Container,78,17,37,11,double,23.0,28,1,2023-09-07,62
FT100079,Mumbai Central,BCT,WR,Kharagpur Junction,KGP,SER,272,28.0,3843.0,5040.0,WAG12,Container,10,6,29,5,double,24.0,31,0,2023-02-08,26
FT100080,Kanpur Central,CNB,NCR,Mumbai Central,BCT,WR,723,38.0,3136.0,7115.0,WAG9,Cement,68,12,21,3,double,26.0,40,0,2023-11-26,68
FT100081,Patna Junction,PNBE,ECR,Kharagpur Junction,KGP,SER,573,35.0,2209.0,5223.0,WAG12,Container,34,14,29,9,single,17.0,34,1,2023-09-25,61
FT100082,Itarsi Junction,ET,CR,Patna Junction,PNBE,ECR,600,42.0,3317.0,7028.0,WAG12,Cement,95,12,11,2,single,,42,0,2023-09-27,81
FT100083,Mumbai Central,BCT,WR,Chennai Central,MAS,SR,1134,54.0,1901.0,5466.0,WAG12,Cement,26,16,35,13,double,13.0,22,0,2023-06-01,38
FT100084,Bhopal Junction,BPL,WCR,Itarsi Junction,ET,CR,382,42.0,1863.0,4038.0,WAG7,Cement,24,17,8,10,double,23.0,21,0,2023-12-15,43
FT100085,Howrah Junction,HWH,ER,Itarsi Junction,ET,CR,745,49.0,1750.0,4758.0,WAG12,Container,22,11,22,14,double,12.0,36,0,2023-04-06,41
FT100086,Kharagpur Junction,KGP,SER,Ghaziabad Junction,GZB,NR,471,29.0,,7430.0,WAG9,Steel,93,8,5,2,double,4.0,24,0,2023-06-26,62
FT100087,New Delhi,NDLS,NR,Kharagpur Junction,KGP,SER,784,34.0,2463.0,,WAG12,Steel,68,12,10,11,double,25.0,32,1,2023-10-22,56
FT100088,Ghaziabad Junction,GZB,NR,Patna Junction,PNBE,ECR,763,23.0,3094.0,5607.0,WAG7,Steel,29,7,14,8,double,28.0,24,0,2023-04-17,37
FT100089,Kanpur Central,CNB,NCR,Patna Junction,PNBE,ECR,888,28.0,2543.0,5913.0,WAG9,Steel,70,5,39,8,single,26.0,22,1,2023-06-27,67
FT100090,Bhopal Junction,BPL,WCR,Ghaziabad Junction,GZB,NR,528,23.0,3433.0,5380.0,WAG7,Container,20,15,7,2,double,,34,1,2023-05-03,29
FT100091,Bhopal Junction,BPL,WCR,Kharagpur Junction,KGP,SER,1399,45.0,2413.0,,WAG7,Coal,46,5,17,2,double,,32,1,2023-10-11,73
FT100092,Howrah Junction,HWH,ER,Itarsi Junction,ET,CR,1546,59.0,3389.0,6087.0,WAG7,Container,86,15,37,9,single,12.0,30,0,2023-09-19,98
FT100093,Ghaziabad Junction,GZB,NR,Kharagpur Junction,KGP,SER,1393,55.0,1690.0,7738.0,WAG12,Coal,47,14,11,9,single,,42,1,2023-05-13,62
FT100094,Itarsi Junction,ET,CR,Kharagpur Junction,KGP,SER,1893,58.0,3629.0,6403.0,WAG7,Cement,11,19,17,2,double,13.0,43,0,2023-01-12,45
FT100095,Howrah Junction,HWH,ER,Kanpur Central,CNB,NCR,666,49.0,2085.0,5256.0,WAG7,Coal,72,10,19,4,double,27.0,23,1,2023-08-10,68
FT100096,Chennai Central,MAS,SR,New Delhi,NDLS,NR,723,41.0,3948.0,7977.0,WAG7,Cement,74,11,30,13,single,21.0,20,1,2023-04-30,64
FT100097,Howrah Junction,HWH,ER,Itarsi Junction,ET,CR,1761,53.0,2953.0,4737.0,WAG7,Coal,38,11,21,7,single,3.0,30,1,2023-04-09,58
FT100098,Mumbai Central,BCT,WR,Chennai Central,MAS,SR,1245,30.0,3062.0,7778.0,WAG9,Cement,90,10,32,2,single,29.0,22,1,2023-01-21,72
FT100099,New Delhi,NDLS,NR,Ghaziabad Junction,GZB,NR,991,31.0,3309.0,5294.0,WAG9,Coal,89,5,12,13,single,26.0,27,0,2023-03-01,75
FT100100,Mumbai Central,BCT,WR,Chennai Central,MAS,SR,398,22.0,1848.0,4959.0,WAG7,Steel,53,13,28,12,single,20.0,41,1,2023-11-12,67
FT100101,Kharagpur Junction,KGP,SER,Mumbai Central,BCT,WR,1567,27.0,1894.0,5087.0,WAG9,Steel,86,6,12,14,single,16.0,25,1,2023-10-04,98
FT100102,Ghaziabad Junction,GZB,NR,New Delhi,NDLS,NR,301,27.0,2278.0,4213.0,WAG7,Steel,60,12,21,2,double,23.0,20,1,2023-03-17,77
FT100103,New Delhi,NDLS,NR,Ghaziabad Junction,GZB,NR,788,45.0,2417.0,7174.0,WAG9,Steel,75,19,30,2,double,5.0,42,1,2023-06-23,64
FT100104,New Delhi,NDLS,NR,Bhopal Junction,BPL,WCR,516,22.0,2134.0,5925.0,WAG9,Cement,18,18,13,4,double,5.0,34,0,2023-12-25,7
FT100105,Patna Junction,PNBE,ECR,Chennai Central,MAS,SR,407,23.0,1521.0,4409.0,WAG12,Cement,12,17,18,9,single,8.0,38,1,2023-01-12,28
FT100106,Howrah Junction,HWH,ER,Patna Junction,PNBE,ECR,949,55.0,2184.0,5927.0,WAG7,Container,62,7,36,12,double,22.0,38,0,2023-11-03,54
FT100107,Kanpur Central,CNB,NCR,New Delhi,NDLS,NR,1102,31.0,3248.0,4158.0,WAG9,Cement,67,16,28,8,double,28.0,36,0,2023-10-20,85
FT100108,Ghaziabad Junction,GZB,NR,Chennai Central,MAS,SR,1473,53.0,3035.0,7811.0,WAG12,Coal,75,6,38,8,single,14.0,34,0,2023-09-19,71
FT100109,Howrah Junction,HWH,ER,Itarsi Junction,ET,CR,1743,55.0,,5622.0,WAG9,Container,51,9,18,5,double,11.0,32,0,2023-11-30,51
FT100110,Kanpur Central,CNB,NCR,Bhopal Junction,BPL,WCR,430,44.0,1629.0,7814.0,WAG12,Coal,79,12,29,12,double,16.0,23,0,2023-01-28,74
FT100111,Patna Junction,PNBE,ECR,Itarsi Junction,ET,CR,1930,33.0,,5628.0,WAG7,Coal,19,8,34,8,single,11.0,31,0,2023-12-27,78
FT100112,Ghaziabad Junction,GZB,NR,Kanpur Central,CNB,NCR,1507,56.0,3520.0,7275.0,WAG9,Steel,46,6,32,9,single,16.0,24,1,2023-07-26,78
FT100113,Itarsi Junction,ET,CR,New Delhi,NDLS,NR,318,54.0,1697.0,6532.0,WAG9,Cement,68,14,37,4,single,4.0,37,1,2023-06-28,77
FT100114,Mumbai Central,BCT,WR,Ghaziabad Junction,GZB,NR,1529,48.0,,7110.0,WAG9,Cement,65,11,27,8,double,14.0,40,0,2023-10-21,84
FT100115,Patna Junction,PNBE,ECR,Bhopal Junction,BPL,WCR,868,51.0,2881.0,4516.0,WAG12,Container,95,14,38,11,double,14.0,37,1,2023-07-12,72
FT100116,New Delhi,NDLS,NR,Itarsi Junction,ET,CR,1871,59.0,,4986.0,WAG9,Coal,81,9,8,9,double,24.0,21,1,2023-10-16,94
FT100117,Kanpur Central,CNB,NCR,Ghaziabad Junction,GZB,NR,1384,44.0,2187.0,6828.0,WAG7,Container,82,8,17,2,single,20.0,25,1,2023-06-08,82
FT100118,Chennai Central,MAS,SR,Kanpur Central,CNB,NCR,218,25.0,,5000.0,WAG7,Coal,32,19,15,1,double,18.0,26,0,2023-05-09,33
FT100119,Kharagpur Junction,KGP,SER,Howrah Junction,HWH,ER,1027,48.0,2996.0,5440.0,WAG9,Container,58,7,39,8,double,16.0,33,1,2023-04-12,54
FT100120,Mumbai Central,BCT,WR,Ghaziabad Junction,GZB,NR,1226,40.0,3875.0,6863.0,WAG12,Cement,75,8,32,11,double,5.0,42,1,2023-04-27,72
FT100121,Mumbai Central,BCT,WR,Kharagpur Junction,KGP,SER,606,35.0,,7188.0,WAG12,Cement,24,9,15,13,double,24.0,38,1,2023-02-20,24
FT100122,Chennai Central,MAS,SR,Kharagpur Junction,KGP,SER,1787,46.0,3192.0,6798.0,WAG9,Coal,37,17,12,4,double,2.0,44,1,2023-05-24,54
FT100123,Patna Junction,PNBE,ECR,Itarsi Junction,ET,CR,1262,,3706.0,7654.0,WAG9,Coal,72,16,24,8,single,,29,0,2023-09-20,71
FT100124,Patna Junction,PNBE,ECR,Kanpur Central,CNB,NCR,1341,40.0,2743.0,7976.0,WAG9,Cement,35,12,19,1,double,8.0,24,1,2023-01-10,43
FT100125,Mumbai Central,BCT,WR,Bhopal Junction,BPL,WCR,730,55.0,1645.0,4914.0,WAG7,Container,45,5,37,3,double,9.0,21,0,2023-08-30,38
FT100126,Patna Junction,PNBE,ECR,Kharagpur Junction,KGP,SER,861,56.0,3966.0,4987.0,WAG7,Steel,80,7,14,7,single,10.0,37,0,2023-03-19,62
FT100127,Itarsi Junction,ET,CR,Kanpur Central,CNB,NCR,836,58.0,2498.0,7351.0,WAG9,Steel,69,14,23,7,single,13.0,33,1,2023-03-09,65
FT100128,Bhopal Junction,BPL,WCR,Kharagpur Junction,KGP,SER,552,55.0,3422.0,4072.0,WAG7,Cement,17,15,10,5,double,0.0,25,1,2023-07-15,32
FT100129,Mumbai Central,BCT,WR,Howrah Junction,HWH,ER,1213,22.0,1841.0,7909.0,WAG7,Container,11,6,6,7,double,22.0,39,1,2023-04-12,32
FT100130,Kanpur Central,CNB,NCR,Itarsi Junction,ET,CR,1771,24.0,3368.0,7548.0,WAG7,Cement,40,16,20,8,double,14.0,22,1,2023-04-16,59
FT100131,Patna Junction,PNBE,ECR,Howrah Junction,HWH,ER,1327,24.0,3503.0,7943.0,WAG9,Steel,74,6,34,8,single,24.0,20,0,2023-05-29,71
FT100132,Kanpur Central,CNB,NCR,Chennai Central,MAS,SR,937,33.0,1980.0,5686.0,WAG12,Container,75,8,25,14,single,,23,1,2023-09-15,68
FT100133,Patna Junction,PNBE,ECR,Kanpur Central,CNB,NCR,1642,41.0,3690.0,4341.0,WAG7,Steel,69,10,16,2,single,4.0,22,1,2023-08-27,77
FT100134,Bhopal Junction,BPL,WCR,Itarsi Junction,ET,CR,1893,33.0,1633.0,,WAG9,Cement,89,6,18,10,single,6.0,21,0,2023-03-14,83
FT100135,Kanpur Central,CNB,NCR,New Delhi,NDLS,NR,363,50.0,3305.0,6880.0,WAG7,Coal,89,6,7,8,single,21.0,21,1,2023-01-25,63
FT100136,Ghaziabad Junction,GZB,NR,Chennai Central,MAS,SR,1396,31.0,1627.0,7679.0,WAG7,Container,22,18,24,2,double,13.0,42,0,2023-05-26,51
FT100137,Howrah Junction,HWH,ER,Kharagpur Junction,KGP,SER,1690,53.0,3892.0,4641.0,WAG12,Coal,20,11,35,3,single,17.0,22,0,2023-02-25,46
FT100138,Ghaziabad Junction,GZB,NR,Howrah Junction,HWH,ER,462,35.0,1899.0,6811.0,WAG9,Container,13,6,21,5,double,3.0,22,0,2023-04-11,4
FT100139,Kanpur Central,CNB,NCR,Patna Junction,PNBE,ECR,1964,41.0,2009.0,5206.0,WAG9,Container,11,9,31,10,single,29.0,43,0,2023-09-03,62
FT100140,Kharagpur Junction,KGP,SER,New Delhi,NDLS,NR,1236,40.0,3509.0,4241.0,WAG7,Cement,94,15,22,5,double,20.0,42,0,2023-06-22,86
FT100141,Itarsi Junction,ET,CR,Chennai Central,MAS,SR,745,37.0,2243.0,,WAG7,Coal,61,13,25,1,double,,28,0,2023-02-11,59
FT100142,New Delhi,NDLS,NR,Mumbai Central,BCT,WR,771,48.0,,7081.0,WAG12,Steel,67,12,25,1,single,27.0,36,1,2023-10-11,81
FT100143,Patna Junction,PNBE,ECR,Bhopal Junction,BPL,WCR,1396,38.0,2939.0,6987.0,WAG7,Container,74,15,12,1,single,22.0,38,1,2023-11-29,88
FT100144,Howrah Junction,HWH,ER,Bhopal Junction,BPL,WCR,1240,24.0,1647.0,,WAG12,Steel,67,9,15,5,double,13.0,41,1,2023-07-30,56
FT100145,Bhopal Junction,BPL,WCR,Itarsi Junction,ET,CR,1773,51.0,3915.0,7291.0,WAG9,Container,90,6,29,3,single,7.0,23,1,2023-11-25,94
FT100146,Chennai Central,MAS,SR,Ghaziabad Junction,GZB,NR,368,44.0,1877.0,,WAG9,Steel,71,17,14,5,double,17.0,35,1,2023-05-29,56
FT100147,Mumbai Central,BCT,WR,Itarsi Junction,ET,CR,982,36.0,2435.0,7473.0,WAG9,Cement,64,14,29,9,double,8.0,41,1,2023-11-11,51
FT100148,Chennai Central,MAS,SR,Kharagpur Junction,KGP,SER,1395,51.0,2185.0,6160.0,WAG7,Steel,30,9,36,14,double,2.0,33,1,2023-08-10,45
FT100149,Patna Junction,PNBE,ECR,Kanpur Central,CNB,NCR,861,44.0,2269.0,6588.0,WAG12,Container,94,7,31,7,double,14.0,31,0,2023-02-19,83
FT100150,Kanpur Central,CNB,NCR,Kharagpur Junction,KGP,SER,1924,52.0,2014.0,4702.0,WAG7,Container,28,12,33,10,double,22.0,35,1,2023-01-30,64
FT100151,New Delhi,NDLS,NR,Kharagpur Junction,KGP,SER,714,20.0,3423.0,7175.0,WAG7,Cement,73,18,38,7,single,9.0,21,0,2023-01-10,74
FT100152,Ghaziabad Junction,GZB,NR,Chennai Central,MAS,SR,1131,41.0,3781.0,6649.0,WAG12,Container,67,11,16,6,double,,38,0,2023-07-28,76
FT100153,Itarsi Junction,ET,CR,Chennai Central,MAS,SR,1846,23.0,2543.0,5929.0,WAG7,Steel,33,9,39,6,double,21.0,26,0,2023-06-03,74
FT100154,Itarsi Junction,ET,CR,Kanpur Central,CNB,NCR,1141,23.0,1687.0,5080.0,WAG12,Cement,54,9,21,10,single,19.0,39,1,2023-04-29,61
FT100155,Bhopal Junction,BPL,WCR,Mumbai Central,BCT,WR,1893,37.0,3438.0,6206.0,WAG12,Steel,69,7,23,6,double,27.0,32,1,2023-11-01,95
